,药名,四气,五味,升降浮沉,归经
462,仙茅,热,辛,,肾、肝、脾
463,葫芦巴,温,苦,,肾
464,杜仲,温,甘,,肝、肾
465,杜仲叶,温,微辛,,肝、肾
466,断续,微温,苦、辛,,肝、肾
467,肉苁蓉,温,甘、咸,,肾、大肠
468,锁阳,温,甘,,肝、肾、大肠
469,补骨脂,温,辛、苦,,肾、脾
470,益智仁,温,辛、温,,脾、肾
471,菟丝子,平,辛、甘,,肝、肾、脾
472,沙苑子,温,甘,,肝、肾
473,蛤蚧,平,咸,,肺、肾
474,核桃仁,温,甘,,肾、肺、大肠
475,冬虫夏草,平,甘,,肺、肾
476,韭菜子,温,辛、甘,,肝、肾
477,阳起石,温,咸,,肾
478,紫石英,温,甘,,肾、心、肺
479,海狗肾,热,咸,,肾
480,黄狗肾,温,咸,,肾
481,海马,温,甘、咸,,肝、肾
482,海龙,温,甘、咸,,肝、肾
483,蛤蟆油,平,肝、咸,,肺、肾
484,当归,温,辛、甘,,肝、心、脾
485,熟地黄,微温,甘,,肝、肾
486,白芍,微寒,苦、酸,,肝、脾
487,阿胶,平,甘,,肺、肝、肾
488,何首乌,微温,苦、甘、涩,,肝、心、肾
489,龙眼肉,温,甘,,心、脾
490,北沙参,微寒,甘、微苦,,肺、胃
491,南沙参,微寒,甘,,肺、胃
492,百合,微寒,甘,,心、肺
493,麦冬,微寒,甘,,心、肺、胃
494,天冬,寒,甘、苦,,肺、肾
495,石斛,微寒,甘,,胃、肾
496,铁皮石斛,微寒,甘,,胃、肾
497,玉竹,微寒,甘,,肺、胃
498,黄精,平,甘,,脾、肺、肾
499,枸杞子,平,甘,,肝、肾
500,墨旱莲,寒,甘、酸,,肾、肝
501,女贞子,凉,甘、苦,,肝、肾
502,桑葚,寒,甘、酸,,心、肝、肾
503,黑芝麻,平,甘,,肝、肾、大肠
504,龟甲,微寒,甘、咸,,肝、肾、心
505,龟甲胶,凉,咸、甘,,肝、肾、心
506,鳖甲,微寒,咸,,肝、肾
507,麻黄根,平,甘、涩,,心、肺
508,浮小麦,凉,甘,,心
509,小麦,微寒,甘,,心
510,糯稻根,平,甘,,肺、胃、肾
511,五味子,温,酸、甘,,肺、心、肾
512,乌梅,平,酸、涩,,肝、脾、肺、大肠
513,五倍子,寒,酸、涩,,肺、大肠、肾
514,罂粟壳,平,酸、涩,,肺、大肠、肾
515,诃子,平,苦、酸、涩,,肺、大肠
516,石榴皮,温,酸、涩,,大肠
517,肉豆蔻,温,辛,,脾、胃、大肠
518,赤石脂,温,甘、酸、涩,,大肠、胃
519,禹余粮,微寒,甘、涩,,胃、大肠
520,山茱萸,微温,酸、涩,,肝、肾
521,覆盆子,温,甘、酸,,肝、肾、膀胱
522,桑螵蛸,平,甘、咸,,肝、肾
523,海螵蛸,温,咸、涩,,脾、肾
524,金樱子,平,酸、甘、涩,,肾、膀胱、大肠
525,莲子,平,甘、涩,,脾、肾、心
526,莲须,平,甘、涩,,心、肾
527,莲房,温,苦、涩,,肝
528,莲子心,寒,苦、寒,,心、肾
529,荷叶,平,苦,,肝、脾、胃
530,荷梗,平,苦,,肺、脾、胃
531,石莲子,寒,甘、涩、微苦,,脾、胃、心
532,芡实,平,甘、涩,,脾、肾
533,刺猬皮,平,苦、涩,,肾、胃、大肠
534,椿皮,寒,苦、涩,,大肠、胃、肝
535,鸡冠花,凉,甘、涩,,肝、大肠
536,常山,寒,苦、辛,,肺、肝、心
537,蜀漆,寒,苦、辛,,肺、肝、心
538,甜瓜蒂,寒,苦,,胃、胆
539,胆矾,寒,酸、辛,,肝、胆
540,藜芦,寒,苦、辛,,肺、肝、胃
541,雄黄,温,辛,,肝、大肠
542,硫黄,温,酸,,肾、大肠
543,白矾,寒,酸、涩,,肺、脾、肝、大肠
544,皂矾,凉,酸,,肝、脾
545,蛇床子,温,辛、苦,,肾
546,土荆皮,温,辛,,肺、脾
547,木槿皮,微寒,甘,,大肠、肝、脾
548,蜂房,平,甘,,胃
549,蜂房,微温,甘,,脾
550,樟脑,热,辛,,心、脾
551,蟾酥,温,辛,,心
552,蟾皮,凉,辛,,
553,守宫,寒,咸,,肝、心
554,大蒜,温,辛,,脾、胃、肺
555,红粉,热,辛,,肺、脾
556,轻粉,寒,辛,,大肠、小肠
557,水银,寒,辛,,心、肝、肾
558,砒石,大热,辛,,肺、脾、肝
559,铅丹,寒,辛、咸,,心、脾、肝
560,密陀僧,平,咸、辛,,肝、脾
561,炉甘石,平,甘,,肝、脾
562,硼砂,凉,甘、咸,,肺、胃
