,0
炙冬花,1.1657341758564144e-15
广地龙,7.771561172376096e-16
黄芩,4.440892098500626e-16
前胡,1.942890293094024e-16
杏仁,-6.938893903907228e-18
生甘草,-2.7755575615628914e-16
胆南星,-2.0539125955565396e-15
