2022-10-19 14:00:25.046 | WARNING  | __main__:<module>:202 - f1		mean:0.823	std:0.032
2022-10-19 14:49:55.241 | WARNING  | __main__:<module>:19 - 0.83	0.843	0.811	0.827
2022-10-19 14:49:55.457 | WARNING  | __main__:<module>:19 - 0.849	0.825	0.887	0.855
2022-10-19 14:49:55.671 | WARNING  | __main__:<module>:19 - 0.83	0.889	0.755	0.816
2022-10-19 14:49:55.886 | WARNING  | __main__:<module>:19 - 0.783	0.759	0.83	0.793
2022-10-19 14:49:56.107 | WARNING  | __main__:<module>:19 - 0.84	0.833	0.849	0.841
2022-10-19 14:49:56.309 | WARNING  | __main__:<module>:19 - 0.811	0.78	0.868	0.821
2022-10-19 14:49:56.531 | WARNING  | __main__:<module>:19 - 0.877	0.9	0.849	0.874
2022-10-19 14:49:56.748 | WARNING  | __main__:<module>:19 - 0.896	0.889	0.906	0.897
2022-10-19 14:49:56.972 | WARNING  | __main__:<module>:19 - 0.867	0.882	0.849	0.865
2022-10-19 14:49:57.185 | WARNING  | __main__:<module>:19 - 0.838	0.818	0.865	0.841
2022-10-19 14:49:57.188 | WARNING  | __main__:<module>:26 - accuracy		mean:0.82	std:0.04
2022-10-19 14:49:57.190 | WARNING  | __main__:<module>:28 - precision		mean:0.819	std:0.045
2022-10-19 14:49:57.192 | WARNING  | __main__:<module>:30 - recall		mean:0.849	std:0.041
2022-10-19 14:49:57.195 | WARNING  | __main__:<module>:32 - f1		mean:0.833	std:0.032
2022-10-19 14:49:59.738 | WARNING  | __main__:<module>:19 - 0.83	0.843	0.811	0.827
2022-10-19 14:49:59.979 | WARNING  | __main__:<module>:19 - 0.849	0.825	0.887	0.855
2022-10-19 14:50:00.201 | WARNING  | __main__:<module>:19 - 0.83	0.889	0.755	0.816
2022-10-19 14:50:00.418 | WARNING  | __main__:<module>:19 - 0.783	0.759	0.83	0.793
2022-10-19 14:50:00.626 | WARNING  | __main__:<module>:19 - 0.84	0.833	0.849	0.841
2022-10-19 14:50:00.837 | WARNING  | __main__:<module>:19 - 0.811	0.78	0.868	0.821
2022-10-19 14:50:01.051 | WARNING  | __main__:<module>:19 - 0.877	0.9	0.849	0.874
2022-10-19 14:50:01.270 | WARNING  | __main__:<module>:19 - 0.896	0.889	0.906	0.897
2022-10-19 14:50:01.486 | WARNING  | __main__:<module>:19 - 0.867	0.882	0.849	0.865
2022-10-19 14:50:01.703 | WARNING  | __main__:<module>:19 - 0.838	0.818	0.865	0.841
2022-10-19 14:50:01.705 | WARNING  | __main__:<module>:26 - accuracy		mean:0.827	std:0.039
2022-10-19 14:50:01.707 | WARNING  | __main__:<module>:28 - precision		mean:0.827	std:0.047
2022-10-19 14:50:01.709 | WARNING  | __main__:<module>:30 - recall		mean:0.848	std:0.041
2022-10-19 14:50:01.712 | WARNING  | __main__:<module>:32 - f1		mean:0.836	std:0.032
2022-10-19 14:50:04.342 | WARNING  | __main__:<module>:19 - 0.83	0.843	0.811	0.827
2022-10-19 14:50:04.567 | WARNING  | __main__:<module>:19 - 0.849	0.825	0.887	0.855
2022-10-19 14:50:04.780 | WARNING  | __main__:<module>:19 - 0.83	0.889	0.755	0.816
2022-10-19 14:50:05.015 | WARNING  | __main__:<module>:19 - 0.783	0.759	0.83	0.793
2022-10-19 14:50:05.268 | WARNING  | __main__:<module>:19 - 0.84	0.833	0.849	0.841
2022-10-19 14:50:05.498 | WARNING  | __main__:<module>:19 - 0.811	0.78	0.868	0.821
2022-10-19 14:50:05.713 | WARNING  | __main__:<module>:19 - 0.877	0.9	0.849	0.874
2022-10-19 14:50:05.931 | WARNING  | __main__:<module>:19 - 0.896	0.889	0.906	0.897
2022-10-19 14:50:06.149 | WARNING  | __main__:<module>:19 - 0.867	0.882	0.849	0.865
2022-10-19 14:50:06.370 | WARNING  | __main__:<module>:19 - 0.838	0.818	0.865	0.841
2022-10-19 14:50:06.372 | WARNING  | __main__:<module>:26 - accuracy		mean:0.831	std:0.037
2022-10-19 14:50:06.374 | WARNING  | __main__:<module>:28 - precision		mean:0.831	std:0.047
2022-10-19 14:50:06.377 | WARNING  | __main__:<module>:30 - recall		mean:0.848	std:0.04
2022-10-19 14:50:06.379 | WARNING  | __main__:<module>:32 - f1		mean:0.838	std:0.031
