2022-10-20 09:12:10.836 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:12:15.491 | WARNING  | __main__:<module>:186 - 0.762	0.8	0.727	0.762
2022-10-20 09:12:15.496 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:12:20.187 | WARNING  | __main__:<module>:186 - 0.75	0.857	0.6	0.706
2022-10-20 09:12:20.195 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:12:24.785 | WARNING  | __main__:<module>:186 - 0.75	0.727	0.8	0.762
2022-10-20 09:12:24.793 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:12:29.395 | WARNING  | __main__:<module>:186 - 0.85	1.0	0.7	0.824
2022-10-20 09:12:29.399 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:12:33.954 | WARNING  | __main__:<module>:186 - 0.65	0.615	0.8	0.696
